9979,2015-10-21 00:00:00.000,16140538,14160242,$349,500,1964,East,4,1,House,Garage, Integrated garage, Other,48 Rue Cedar|Dollard-Des Ormeaux, Quebec H9B1H6,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16140538/48-Rue-Cedar-Dollard-Des-Ormeaux-Quebec-H9B1H6-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT14160242&Lang=E,0,closed,NULL
36301,2016-01-26 00:00:00.000,16472279,21899441,$374,500,1980,North West,4,1,House,Garage, Other,26 Rue Réginald-Brown|Kirkland, Quebec H9J2Y2,A bright and spacious split on a quiet street with a very large south facing backyard. Near Emile Nelligan and Academie Marie Claire,parks, cinema, restaurants, public transportation and highway 40.,http://www.realtor.ca/Residential/Single-Family/16472279/26-Rue-Réginald-Brown-Kirkland-Quebec-H9J2Y2-North-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=MELLOR%26NoMLS=MT21899441&Lang=E,0,closed,[{"IndividualID":1898121,"Name":"Shawna Mulligan","Organization":{"OrganizationID":53884,"Name":"ROYAL LEPAGE GLOBAL","Logo":"https://cdn.realtor.ca/organization/en-CA/lowres/1008016.jpg","Address":{"AddressText":"2981 boul St-Charles |Kirkland, QC H9H3B5"},"Phones":[{"PhoneType":"Telephone","PhoneNumber":"697-4460","AreaCode":"514","PhoneTypeId":"1"},{"PhoneType":"Fax","PhoneNumber":"697-2097","AreaCode":"514","PhoneTypeId":"4"}],"Emails":[{"ContactId":"289040492"}],"Websites":[{"Websites":null,"WebsiteTypeId":"1"}],"Designation":"Real Estate Agency","HasEmail":true,"PermitFreetextEmail":true,"PermitShowListingLink":true},"Phones":[{"PhoneType":"Telephone","PhoneNumber":"893-1665","AreaCode":"514","PhoneTypeId":"1"},{"PhoneType":"Fax","PhoneNumber":"697-2097","AreaCode":"514","PhoneTypeId":"4"}],"Emails":[{"ContactId":"387582843"}],"Photo":"https://cdn.realtor.ca/individual/lowres/1215697.jpg","Position":"Real Estate Broker","PermitFreetextEmail":true,"FirstName":"Shawna","LastName":"Mulligan","CorporationDisplayTypeId":"0","Websites":[{"Website":"http://www.mellorgroup.ca","WebsiteTypeId":"1"}],"EducationCredentials":null,"CorporationName":null,"CorporationType":null,"CccMember":null}]
10884,2015-10-24 00:00:00.000,16196855,15278219,$324,000,1959,Pierrefonds/Central West,4,2,House,Garage, Other,4392 Rue Richard|Pierrefonds-Roxboro (Montréal), Quebec H9H2R5,Unique, wonderfully well maintained and landscaped home near school,parks and transportation.Beautiful custom covered deck overlooking the salt water heated pool. Many recent updates and improvements.,http://www.realtor.ca/Residential/Single-Family/16196855/4392-Rue-Richard-Pierrefonds-Roxboro-Montréal-Quebec-H9H2R5-PierrefondsCentral-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=IFL%26NoMLS=MT15278219&Lang=E,0,closed,NULL
11160,2015-10-25 00:00:00.000,16077003,20070629,$299,000,1956,Central West,3,1,House,Other,104 Av. Westbank|Pointe-Claire, Quebec H9R2X6,Nice bungalow located in a good neighborhood. Close to all amenities. Beautiful backyard with no rear neighbours and backing on the golf course. Bright and sunny with lots of light from windows and patio door. This property offers great potential. Easy to show.,http://www.realtor.ca/Residential/Single-Family/16077003/104-Av-Westbank-Pointe-Claire-Quebec-H9R2X6-Central-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=MELLOR%26NoMLS=MT20070629&Lang=E,0,closed,NULL
11198,2015-10-25 00:00:00.000,15924574,11573562,$319,000,1957,Forest Gardens (Central North),3,1,House,Other,257 Castle Road|Beaconsfield, Quebec H9W2W4,Fantastic opportunity to renovate to your taste! This solid family home features newer roof, heat pump & driveway plus 2 floor extension offering a main floor office and family room. Situated on a spacious lot in a great location - a short walk to St. Charles blvd, bus, train, schools, park and community pool. Book your visit today!,http://www.realtor.ca/Residential/Single-Family/15924574/257-Castle-Road-Beaconsfield-Quebec-H9W2W4-Forest-Gardens-Central-North,http://passerelle.centris.ca/redirect.aspx?CodeDest=TEAMBROADY%26NoMLS=MT11573562&Lang=E,0,closed,NULL
36340,2016-01-26 00:00:00.000,16426020,16712433,$395,000,1964,Pierrefonds/Central East,4,2,House,,13294 Rue de l'Acadie|Pierrefonds-Roxboro (Montréal), Quebec H9A1A9,Beautiful, renovated house with a huge lot,huge in ground swimming pool (heated), very serene.Child safe crescent.Wood burning fireplace, sun filled basement .Close to all.,http://www.realtor.ca/Residential/Single-Family/16426020/13294-Rue-de-lAcadie-Pierrefonds-Roxboro-Montréal-Quebec-H9A1A9-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=RCIIQ%26NoMLS=MT16712433&Lang=E,0,closed,[{"IndividualID":1460827,"Name":"Mitra Changizi","Organization":{"OrganizationID":54338,"Name":"LIBRES-SERVICES IMMOBILIERS INC.","Logo":"https://cdn.realtor.ca/organization/en-CA/lowres/1103743.jpg","Address":{"AddressText":"7785 CHEMIN DE CHAMBLY |ST-HUBERT, QC J3Y5K2"},"Phones":[{"PhoneType":"Telephone","PhoneNumber":"676-3132","AreaCode":"450","PhoneTypeId":"1"},{"PhoneType":"Fax","PhoneNumber":"676-6687","AreaCode":"450","PhoneTypeId":"4"}],"Emails":[{"ContactId":"369580542"}],"Websites":[{"Websites":null,"WebsiteTypeId":"1"}],"Designation":"Real Estate Agency","HasEmail":true,"PermitFreetextEmail":true,"PermitShowListingLink":true},"Phones":[{"PhoneType":"Telephone","PhoneNumber":"814-1844","AreaCode":"514","PhoneTypeId":"1"}],"Emails":[{"ContactId":"386572709"}],"Photo":"https://cdn.realtor.ca/individual/lowres/1124246.jpg","Position":"Real Estate Broker","PermitFreetextEmail":true,"FirstName":"Mitra","LastName":"Changizi","CorporationDisplayTypeId":"0","Websites":[{"Website":"http://www.nosadresses.com","WebsiteTypeId":"1"}],"EducationCredentials":null,"CorporationName":null,"CorporationType":null,"CccMember":null}]
10885,2015-10-24 00:00:00.000,16202759,27392199,$324,500,1957,Pierrefonds/Central East,4,2,House,Other,13700 Rue David|Pierrefonds-Roxboro (Montréal), Quebec H8Z1P8,Impeccable bungalow located in a quiet area of Pierrefonds, on huge 11,000 sq.ft landscaped lot.  3+1 bdrs, 2 baths, fireplace, beautiful deck and garden surrounded with mature trees, finished basement with bdr and bath, laundry room and working room.  Close to CLSC and Library, schools, public park and pool, buses.  See addendum for renovations.,http://www.realtor.ca/Residential/Single-Family/16202759/13700-Rue-David-Pierrefonds-Roxboro-Montréal-Quebec-H8Z1P8-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=SOTHEBYS%26NoMLS=MT27392199&Lang=E,0,closed,NULL
11274,2015-10-25 00:00:00.000,16174109,13989111,$349,000,2000,Pierrefonds/Central West,4,1,House,Integrated garage, Other, Garage,14340 Rue Harry-Worth|Pierrefonds-Roxboro (Montréal), Quebec H9H5H5,Move-In Ready.... Full brick 3 + 1 bedroom semi-detached cottage built in 2000 situated in a very desirable area. Steps to shopping, public transportation and much more. Great family home with many updates over the years. Come see for yourself!,http://www.realtor.ca/Residential/Single-Family/16174109/14340-Rue-Harry-Worth-Pierrefonds-Roxboro-Montréal-Quebec-H9H5H5-PierrefondsCentral-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=C21%26NoMLS=MT13989111&Lang=E,0,closed,NULL
11454,2015-10-26 00:00:00.000,16255872,26383740,$279,000,1981,North,3,1,House,Carport,497 Av. Hermitage|Pointe-Claire, Quebec H9R5C4,Well located, 3 Bedroom, 1.5 bath, minutes to Fairview Mall & bus terminal. Quiet setting, close to Hermitage Park. Large playroom has woodstove, plenty of storage and Cedar closet. New bathroom (2012), new windows and doors(2014). Fenced backyard and carport. A must see!!! Quick occupancy possible.,http://www.realtor.ca/Residential/Single-Family/16255872/497-Av-Hermitage-Pointe-Claire-Quebec-H9R5C4-North,http://passerelle.centris.ca/redirect.aspx?CodeDest=MELLOR%26NoMLS=MT26383740&Lang=E,0,closed,NULL
11686,2015-10-26 00:00:00.000,15764016,15571413,$379,000,1979,North West,4,2,House,Garage, Other,71 Rue Daudelin|Kirkland, Quebec H9J2J4,Immaculate, well maintained home located on quiet street, walk to parks, schools - Emile Nelligan and Academie Marie Claire, cinema, shops, restaurants, public transportation and easy access to highway 40.  Roof 2014, hot water tank 2013, furnace 2011, air condition 2011, garage door 2014. Many rooms include built-in furniture.,http://www.realtor.ca/Residential/Single-Family/15764016/71-Rue-Daudelin-Kirkland-Quebec-H9J2J4-North-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=EGPTECH%26NoMLS=MT15571413&Lang=E,0,closed,NULL
28513,2015-12-28 00:00:00.000,16369705,18859086,$369,900,1988,Pierrefonds/Central East,3,2,House,Garage, Other,12656 Rue Bedford|Pierrefonds-Roxboro (Montréal), Quebec H9A3K5,Situated in a high demand area of Pierrefonds. This home is zoned for the westpark elementary school and is at proximity of Beechwood school , High schools and the Pierrefonds library. This well cared for house is a must see on your part!,http://www.realtor.ca/Residential/Single-Family/16369705/12656-Rue-Bedford-Pierrefonds-Roxboro-Montréal-Quebec-H9A3K5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=C21%26NoMLS=MT18859086&Lang=E,0,closed,NULL
28539,2015-12-28 00:00:00.000,16315066,16427030,$379,000,1957,Central East,3,2,House,Integrated garage, Garage, Other,106 Av. Hastings|Pointe-Claire, Quebec H9R3P3,Beautifully updated spacious split level in PRIME Pointe Claire location.Kitchen and bathrooms have been redone(2013)  with the addition of heated slate floors in the kitchen and bathroom including a bonus  towel warmer. Newly sanded and varnished hardwood floors have been stained a warm brown and the entire house has been freshly painted.,http://www.realtor.ca/Residential/Single-Family/16315066/106-Av-Hastings-Pointe-Claire-Quebec-H9R3P3-Central-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT16427030&Lang=E,0,closed,NULL
28564,2015-12-28 00:00:00.000,16426020,16712433,$395,000,1964,Pierrefonds/Central East,4,2,House,,13294 Rue de l'Acadie|Pierrefonds-Roxboro (Montréal), Quebec H9A1A9,Beautiful, renovated house with a huge lot,huge in ground swimming pool (heated), very serene.Child safe crescent.Wood burning fireplace, sun filled basement .Close to all.,http://www.realtor.ca/Residential/Single-Family/16426020/13294-Rue-de-lAcadie-Pierrefonds-Roxboro-Montréal-Quebec-H9A1A9-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=RCIIQ%26NoMLS=MT16712433&Lang=E,0,closed,NULL
28549,2015-12-28 00:00:00.000,16399860,21724433,$385,000,1963,Pierrefonds/Central West,3,1,House,Other, Garage,4416 Rue Ste-Anne|Pierrefonds-Roxboro (Montréal), Quebec H9H2Z4,The most spacious renovated bungalow of the area!!You will be amazed by this spacious house.Incredibly brite because of it's large windows.Renovated with quality and taste.Ideal for young couple or family looking for perfect house with nothing to do upon entry!Amazing private backyard with huge deck.See list of renos in addenda.Must see property!,http://www.realtor.ca/Residential/Single-Family/16399860/4416-Rue-Ste-Anne-Pierrefonds-Roxboro-Montréal-Quebec-H9H2Z4-PierrefondsCentral-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=ALOUERMONTREAL%26NoMLS=MT21724433&Lang=E,0,closed,NULL
28577,2015-12-28 00:00:00.000,16329711,12207109,$399,000,1968,West,4,2,House,Garage, Other,18 Rue Gauthier|Dollard-Des Ormeaux, Quebec H9G1Z7,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16329711/18-Rue-Gauthier-Dollard-Des-Ormeaux-Quebec-H9G1Z7-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT12207109&Lang=E,0,closed,NULL
28650,2015-12-29 00:00:00.000,16417628,21412159,$295,000,1968,Pierrefonds/West,3,2,House,Garage, Integrated garage,4840 Rue Geneviève|Pierrefonds-Roxboro (Montréal), Quebec H9J1S5,Le propriétaire a le droit de vendre par lui même,http://www.realtor.ca/Residential/Single-Family/16417628/4840-Rue-Geneviève-Pierrefonds-Roxboro-Montréal-Quebec-H9J1S5-PierrefondsWest,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT21412159&Lang=E,0,closed,NULL
28694,2015-12-29 00:00:00.000,16437345,18120655,$319,900,1961,Pierrefonds/Central East,4,2,House,Carport, Other,12227 Rue Tilly|Pierrefonds-Roxboro (Montréal), Quebec H8Z1R8,Superbe residence,Condition impeccable,Une visite vous convaincra.,4 chambres,dont une au sous sol,qui,en passant,est totalement renove 2015 (il y a un mois seulement).,grand terrain de 7000 P C.,Immence Cabanon Tout Neuf.,une visite s'impose!.,vous serez conquis!les visites sont tres accessibles les soirs et les fins de semaines.,ou meme le jour.,http://www.realtor.ca/Residential/Single-Family/16437345/12227-Rue-Tilly-Pierrefonds-Roxboro-Montréal-Quebec-H8Z1R8-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT18120655&Lang=E,0,closed,NULL
28730,2015-12-29 00:00:00.000,16437291,14746575,$334,900,1954,Forest Gardens (Central North),4,1,House,Garage, Other,234 Boul. St-Charles|Beaconsfield, Quebec H9W2X5,Spacious 3+1 bedroom bungalow located on 13,500 sq.ft. lot. Open concept living/dining room area with lots of daylight. Original, separate kitchen with dinette. Large, magnificent patio overlooking backyard. Close proximity to various services, schools, train & public transport, highway 20/40. A must see!,http://www.realtor.ca/Residential/Single-Family/16437291/234-Boul-St-Charles-Beaconsfield-Quebec-H9W2X5-Forest-Gardens-Central-North,http://passerelle.centris.ca/redirect.aspx?CodeDest=MTOUGAS%26NoMLS=MT14746575&Lang=E,0,closed,NULL
28744,2015-12-29 00:00:00.000,16329583,10675450,$339,000,1962,Pierrefonds/Central East,5,2,House,Garage, Other,11645 Rue Joly|Pierrefonds-Roxboro (Montréal), Quebec H8Y1E5,Completely renovated turn key bungalow situated in the ideal sector of Pierrefonds.This home has 2 bedrooms on the main floor with an option to add a 3rd,2 bedrooms in the basement,2 full bathrooms and a perfect sized lot.The whole house has been updated!The living room has vaulted ceilings and the layout is open concept.One visit will impress!,http://www.realtor.ca/Residential/Single-Family/16329583/11645-Rue-Joly-Pierrefonds-Roxboro-Montréal-Quebec-H8Y1E5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=IFL%26NoMLS=MT10675450&Lang=E,0,closed,NULL
28756,2015-12-29 00:00:00.000,16444898,12824106,$349,000,1959,Pierrefonds/East,6,2,House,Other, Garage,10405 Rue du Belvédère|Pierrefonds-Roxboro (Montréal), Quebec H8Y2J7,UNE DES PLUS BELLES LOCALISATIONS (comme un croissant et rue privée ) * EXCELLENTE valeur de revente * BIENVENUE au contracteur et investisseur *OPPORTUNITÉ très rare 55 pieds de façade (WOW!) * Presque terrain double 9000pc!!! 6 chambres * Énorme potentiel! * UNE VISITE VOUS CONVAINCRA! *,http://www.realtor.ca/Residential/Single-Family/16444898/10405-Rue-du-Belvédère-Pierrefonds-Roxboro-Montréal-Quebec-H8Y2J7-PierrefondsEast,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT12824106&Lang=E,0,closed,NULL
28694,2015-12-29 00:00:00.000,16437345,18120655,$319,900,1961,Pierrefonds/Central East,4,2,House,Carport, Other,12227 Rue Tilly|Pierrefonds-Roxboro (Montréal), Quebec H8Z1R8,Superbe residence,Condition impeccable,Une visite vous convaincra.,4 chambres,dont une au sous sol,qui,en passant,est totalement renove 2015 (il y a un mois seulement).,grand terrain de 7000 P C.,Immence Cabanon Tout Neuf.,une visite s'impose!.,vous serez conquis!les visites sont tres accessibles les soirs et les fins de semaines.,ou meme le jour.,http://www.realtor.ca/Residential/Single-Family/16437345/12227-Rue-Tilly-Pierrefonds-Roxboro-Montréal-Quebec-H8Z1R8-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT18120655&Lang=E,0,closed,NULL
